,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
39,Strawberry,2RJo6RNV5dpjLh6Co4nPsI,173923,https://open.spotify.com/track/2RJo6RNV5dpjLh6Co4nPsI,0.764,0.402,2,-10.282,0.0519,0.332,0.0,0.109,0.508,99.972
40,Cigarettes On Patios (with 24kGoldn) - Remix,2K2nfIHU02JUJtzLvUx0ju,206313,https://open.spotify.com/track/2K2nfIHU02JUJtzLvUx0ju,0.744,0.728,4,-5.738,0.0541,0.275,0.0,0.131,0.543,139.914
41,serotonin highs (feat. Allen Haley),20GbyJrUmAAZIt2x180YUF,154787,https://open.spotify.com/track/20GbyJrUmAAZIt2x180YUF,0.724,0.855,1,-3.001,0.0393,0.00705,0.0,0.095,0.476,94.006
42,Slow Dance,1rt9XZv70RLjjdeG6MDh1y,202273,https://open.spotify.com/track/1rt9XZv70RLjjdeG6MDh1y,0.821,0.595,0,-5.975,0.0589,0.0644,1.45e-05,0.324,0.961,116.994
43,Waste No Time,0UJP4F2kGFf3ZhbV2QfFgu,162000,https://open.spotify.com/track/0UJP4F2kGFf3ZhbV2QfFgu,0.83,0.587,9,-6.589,0.0834,0.477,0.0,0.269,0.635,112.997
44,Talk to Me,2Pg7akoQO6dVVfGd3tWUV8,129396,https://open.spotify.com/track/2Pg7akoQO6dVVfGd3tWUV8,0.664,0.433,8,-9.75,0.0673,0.317,0.0,0.131,0.4,82.937
45,let you,5OJmt1xiOHZJGx8wTUAjEC,151724,https://open.spotify.com/track/5OJmt1xiOHZJGx8wTUAjEC,0.593,0.848,7,-5.059,0.0888,0.241,0.0,0.139,0.7,170.202
46,Lately,0DntsVelzYRISWeBf4rmah,131396,https://open.spotify.com/track/0DntsVelzYRISWeBf4rmah,0.533,0.617,4,-6.821,0.0421,0.0651,1.88e-06,0.117,0.285,179.001
47,is it you,0hGRIPiiHZKFSXvvUqeXSX,171226,https://open.spotify.com/track/0hGRIPiiHZKFSXvvUqeXSX,0.428,0.715,7,-5.899,0.0573,0.514,0.0,0.12,0.185,80.907
48,Blood On My Jeans,3MmCFghNjzZMn3HKqbVizn,154767,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn,0.868,0.55,6,-6.417,0.226,0.183,0.0,0.109,0.464,117.943
49,Myself,2cvOfKHOHgwQlLiuLKP2xR,158120,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR,0.476,0.701,0,-4.234,0.0349,0.102,0.0,0.242,0.405,163.882
50,Inside Out,2mzrBSA0RI0VOWwZxzHGnv,182000,https://open.spotify.com/track/2mzrBSA0RI0VOWwZxzHGnv,0.615,0.701,1,-4.223,0.0339,0.00422,8.16e-05,0.0635,0.525,91.987
51,EVER AGAIN,6bVFrhyMHTWzRe5v5RTnSA,156188,https://open.spotify.com/track/6bVFrhyMHTWzRe5v5RTnSA,0.641,0.758,11,-6.567,0.0428,0.0158,0.0,0.188,0.527,156.958
52,Dawn to Dusk(不眠不休),7CLn8kURV1kTQmARRCSEQ3,157089,https://open.spotify.com/track/7CLn8kURV1kTQmARRCSEQ3,0.708,0.532,1,-6.523,0.0625,0.0484,8.64e-06,0.137,0.33,87.478
53,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,164781,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.657,7,-4.658,0.0768,0.0858,0.0,0.0884,0.203,80.565
54,MY TIME,0pM1oWq2iw8W0AY6ORdC0x,150118,https://open.spotify.com/track/0pM1oWq2iw8W0AY6ORdC0x,0.622,0.527,10,-7.638,0.0346,0.446,0.0,0.07,0.212,79.478
55,Fuck Love,3FcsP46yuD5OhisPkp0jFT,138212,https://open.spotify.com/track/3FcsP46yuD5OhisPkp0jFT,0.84,0.537,7,-6.658,0.0426,0.207,1.32e-06,0.0956,0.775,103.983
56,CONVERSATIONS,32FMAbZAzs3D70UuvnN6y4,164174,https://open.spotify.com/track/32FMAbZAzs3D70UuvnN6y4,0.674,0.721,7,-6.489,0.0293,0.13,9.57e-05,0.0464,0.757,132.053
57,alone in a room full of people,6D7Y1ifRZYfqaTvffJ2zGT,154814,https://open.spotify.com/track/6D7Y1ifRZYfqaTvffJ2zGT,0.637,0.853,4,-4.014,0.0853,0.2,0.0,0.311,0.648,162.093
58,Girl on a Train,6M1nfYPKy7DRk3IrhFVViQ,182547,https://open.spotify.com/track/6M1nfYPKy7DRk3IrhFVViQ,0.711,0.678,9,-6.398,0.0476,0.219,0.0,0.176,0.615,94.04
59,Drifting,5cSg8SdClubjZ32WrKwzAW,162711,https://open.spotify.com/track/5cSg8SdClubjZ32WrKwzAW,0.731,0.803,8,-7.23,0.0506,0.249,0.0,0.0902,0.452,94.519
60,hopeless romantic (feat. Travis Barker),6Jg3EeDICY79tUMfXNbS9Y,168986,https://open.spotify.com/track/6Jg3EeDICY79tUMfXNbS9Y,0.508,0.763,10,-5.388,0.0442,0.000434,0.0,0.185,0.496,187.026
61,Nascar Shawty,2MyF6gLfTUve0eXR9rWbcI,143909,https://open.spotify.com/track/2MyF6gLfTUve0eXR9rWbcI,0.791,0.648,0,-6.499,0.132,0.676,0.0,0.107,0.963,140.027
62,Down & Out,7wIcRhedBpZGpLf9PGKUEh,173250,https://open.spotify.com/track/7wIcRhedBpZGpLf9PGKUEh,0.629,0.649,11,-7.469,0.0314,0.0601,0.0,0.128,0.443,150.044
63,love sux,0o8iO4tGwKdxRePgMo9Qrw,144881,https://open.spotify.com/track/0o8iO4tGwKdxRePgMo9Qrw,0.781,0.532,8,-5.341,0.0374,0.351,0.0,0.0629,0.332,95.072
64,saddest soundtrack,1HMwQR2U8VBEow0JzOAmA4,169789,https://open.spotify.com/track/1HMwQR2U8VBEow0JzOAmA4,0.546,0.823,9,-3.899,0.0742,0.0806,0.0,0.452,0.937,76.476
65,ATTENTION,7l8MgcIPx3tDfNpyKzr9ey,170918,https://open.spotify.com/track/7l8MgcIPx3tDfNpyKzr9ey,0.617,0.864,9,-4.459,0.35,0.21,0.0,0.371,0.595,150.019
66,sunrise,3lTH6qyJ1FEoO6Wkm9vl0I,161982,https://open.spotify.com/track/3lTH6qyJ1FEoO6Wkm9vl0I,0.811,0.447,9,-9.135,0.0837,0.336,0.0,0.176,0.965,78.976
67,Eighties,4FtZXSr2f2ztG5y69d3cNm,106378,https://open.spotify.com/track/4FtZXSr2f2ztG5y69d3cNm,0.495,0.79,4,-3.116,0.221,0.0163,0.0,0.52,0.623,184.742
68,19,24ovEYWV3PjlLOSsmNEWQv,243813,https://open.spotify.com/track/24ovEYWV3PjlLOSsmNEWQv,0.688,0.782,4,-5.419,0.0279,0.244,0.0,0.632,0.659,100.024
69,Drugs,4aPzU7jCuoBibw6zGuzRdq,194810,https://open.spotify.com/track/4aPzU7jCuoBibw6zGuzRdq,0.613,0.719,9,-7.312,0.0376,0.119,0.0,0.112,0.613,129.946
70,Fast,6MjNilJCVKJq0LfFvo5jWJ,208517,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ,0.623,0.608,1,-5.937,0.0434,0.426,0.0,0.105,0.263,84.98
71,Lost Kids,0SkAhwaQTzxKE4luHN0H4m,170613,https://open.spotify.com/track/0SkAhwaQTzxKE4luHN0H4m,0.704,0.499,1,-8.818,0.126,0.224,0.0,0.106,0.223,165.922
