,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
44,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,150866,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,0.617,0.684,0,-3.618,0.0439,0.0545,0.0,0.104,0.295,132.113
45,Inside Out,2mzrBSA0RI0VOWwZxzHGnv,182000,https://open.spotify.com/track/2mzrBSA0RI0VOWwZxzHGnv,0.615,0.701,1,-4.223,0.0339,0.00422,8.16e-05,0.0635,0.525,91.987
46,I Chose Violence,7l5GAw0cglUUnN7bKAz5ab,139870,https://open.spotify.com/track/7l5GAw0cglUUnN7bKAz5ab,0.676,0.717,7,-8.641,0.323,0.323,0.0,0.118,0.451,162.016
47,miss me,5LgwTrB1iYwi5C1dXT6Q2J,153600,https://open.spotify.com/track/5LgwTrB1iYwi5C1dXT6Q2J,0.805,0.464,11,-9.159,0.0484,0.226,0.0,0.104,0.69,150.008
48,Manhattan (feat. Marc E. Bassy & Skizzy Mars),33pXpH7VVUVGET3ui4CI4T,211479,https://open.spotify.com/track/33pXpH7VVUVGET3ui4CI4T,0.715,0.784,1,-5.425,0.175,0.179,7.2e-06,0.0612,0.609,87.337
49,Girl on a Train,6M1nfYPKy7DRk3IrhFVViQ,182547,https://open.spotify.com/track/6M1nfYPKy7DRk3IrhFVViQ,0.711,0.678,9,-6.398,0.0476,0.219,0.0,0.176,0.615,94.04
50,No title,5pZVsZ8TOGly1KnYFmZ61B,243903,https://open.spotify.com/track/5pZVsZ8TOGly1KnYFmZ61B,0.502,0.874,1,-5.981,0.0677,0.0933,0.000173,0.0638,0.884,199.751
51,夜に駆ける,3dPtXHP0oXQ4HCWHsOA9js,261013,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,0.67,0.874,8,-5.221,0.0305,0.00231,1.72e-05,0.3,0.789,130.041
52,HERO,7C4pZa37R3hTIA4NWzbj9W,200413,https://open.spotify.com/track/7C4pZa37R3hTIA4NWzbj9W,0.555,0.789,7,-5.977,0.0475,0.000749,0.000184,0.0974,0.61,110.021
53,Mixed Emotions,6OcpNy2gpyBcpmob2kD7jg,157432,https://open.spotify.com/track/6OcpNy2gpyBcpmob2kD7jg,0.634,0.602,9,-6.653,0.0943,0.337,0.0,0.154,0.405,186.238
54,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,257839,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,1,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017
55,Live Fast Die Numb,10omO03JNpJwhjo538gdNc,134498,https://open.spotify.com/track/10omO03JNpJwhjo538gdNc,0.648,0.692,1,-4.287,0.0456,0.00309,5.2e-06,0.0929,0.83,169.98
