id,progress_ms,context,playlist_uri,time
2RJo6RNV5dpjLh6Co4nPsI,173923,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172152.272703
3MmCFghNjzZMn3HKqbVizn,154767,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172308.1191468
0w57Y6usGOz6jz99s6eXkO,23639,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172331.427014
2k5rWMAz9RvFS3k3kk3cc5,134411,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172464.7933686
1w9L6dvttZalWd8XqFYvSa,135000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172600.913383
4VONhqGmUBlYmlBKQlyims,150093,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172751.3860037
5OJmt1xiOHZJGx8wTUAjEC,151724,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665172903.2465682
5lZtXVDsSQaa43CfCuTx1F,101647,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173005.1929164
2s14ypvd880AiEfZssEjaY,143587,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173149.297237
2tijppLc0gaWA2AfPDANvq,168180,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173318.2836053
7w2iqaRxQgAGnkOdMhsiqu,191973,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173510.6028342
6BxL2JcykvCLnsLzmbHRJr,130250,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173642.2462845
2mzrBSA0RI0VOWwZxzHGnv,182000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173824.479439
32FMAbZAzs3D70UuvnN6y4,164174,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665173989.0491495
3A9RV7frnaeqKGvF7kb0vd,126316,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665174115.7866118
5JY5XNdyskEurS85nHeKr3,195220,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665174311.6837115
2Pg7akoQO6dVVfGd3tWUV8,129396,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665174441.1770122
4qahEWQ9T4MlTFnDqbWtQU,156038,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665174597.396552
0AlQL0hBWA1yTodHv30eYn,165762,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665174763.8908293
4FtZXSr2f2ztG5y69d3cNm,106378,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665174870.835208
02gGfhPHk5NuN0mgbKpU4Y,178787,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175049.796309
6bVFrhyMHTWzRe5v5RTnSA,156188,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175206.9022439
10omO03JNpJwhjo538gdNc,134498,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175341.4386213
5r64v5lI7wzteBY84dBvOT,171833,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175514.05472
3x04ph0jWlk4EgxgQ42gdK,141956,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175656.1750638
1HMwQR2U8VBEow0JzOAmA4,169789,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175826.4354246
20GbyJrUmAAZIt2x180YUF,154787,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665175981.6171324
2K2nfIHU02JUJtzLvUx0ju,206313,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665176189.2098763
7l8MgcIPx3tDfNpyKzr9ey,17386,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665176205.6866817
1H7GjHUmLxp2NRSwDC3eso,178705,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665176384.2021437
2sfYIKz3J8eZkBdTh25KyK,174914,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665176559.2640345
0SkAhwaQTzxKE4luHN0H4m,170613,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665176730.6790962
3lTH6qyJ1FEoO6Wkm9vl0I,161982,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665176893.5201256
1rt9XZv70RLjjdeG6MDh1y,202273,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665177096.1493878
6MjNilJCVKJq0LfFvo5jWJ,208517,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665177304.6249437
7CLn8kURV1kTQmARRCSEQ3,157089,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665177462.9385438
20O2mCvJkmrZ5RNED9tbpu,119066,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665177582.4641683
2MyF6gLfTUve0eXR9rWbcI,143909,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665177726.708329
0uqc00wyYU4ikXuVFDaqux,135233,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665177861.9736414
0hGRIPiiHZKFSXvvUqeXSX,171226,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665178034.4809089
18ogPzQRSl9oUcYUS35g7D,184946,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665178219.4599366
6ddxSkfDxR8krMcheEmuzL,221889,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665178441.8245635
6Jg3EeDICY79tUMfXNbS9Y,168986,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665178611.6283495
1r8ZCjfrQxoy2wVaBUbpwg,164781,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665178776.646263
0UJP4F2kGFf3ZhbV2QfFgu,162000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665178939.4366715
0jcPxc7Fme2oYb2MfFkOy6,215394,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179154.9541276
3DIRkZsEx7zFl6ow9qsyHz,134000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179289.986667
36ibjANovvUo60xwamxLt7,37418,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179326.3969762
4aPzU7jCuoBibw6zGuzRdq,1058,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179327.493681
7pkpdj7AWQjujxxe38WF8f,163008,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179490.5000005
7wIcRhedBpZGpLf9PGKUEh,173250,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179663.3536243
5PmtPTXrLqgqQfqngsUqZp,114427,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179779.254951
3Bgl1xMI00capuTqUHBNUW,184093,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665179963.2983756
6D7Y1ifRZYfqaTvffJ2zGT,154814,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180118.9022295
0o8iO4tGwKdxRePgMo9Qrw,144881,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180263.6170855
6mWCikZXHCCnEwkwyJ2L8G,147183,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180411.6761324
2ZQLEuaDw9rxJ5u5YR0KEw,142663,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180555.3397918
0pM1oWq2iw8W0AY6ORdC0x,150118,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180705.0388443
5cSg8SdClubjZ32WrKwzAW,162711,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180869.3014414
45HHTHXv7gQ5q2r89ui2Fy,127802,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665180997.3863046
0Av7Ar6HYYeCKVYbDSQSbY,144149,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181141.3691785
1Hdh6lJUR1WZCiNPVWxLTA,137721,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181280.2657268
2cvOfKHOHgwQlLiuLKP2xR,158120,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181438.5237348
24ovEYWV3PjlLOSsmNEWQv,243813,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181682.8176775
0DntsVelzYRISWeBf4rmah,131396,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181814.405845
6wFqLYmiXyGvprbWa4ogm8,173488,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181987.9111664
6VN3dKYTClhY5eYQEnBehr,10946,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665181998.876866
2qiadkWrq9h1i34Ut7KeTh,172227,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665182171.0099974
6IirkWmtTPvDHg5J9IpxYS,145096,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665182316.568985
6M1nfYPKy7DRk3IrhFVViQ,182547,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665182499.5703123
5YSu5bnAHeB7pn43F9wdbm,153882,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665182653.428797
2RJo6RNV5dpjLh6Co4nPsI,173923,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665182828.4940157
