,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
20,ON TEN,1Hdh6lJUR1WZCiNPVWxLTA,137721,https://open.spotify.com/track/1Hdh6lJUR1WZCiNPVWxLTA,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vRvGUQVUjytro0xpb26bs'}, 'href': 'https://api.spotify.com/v1/artists/0vRvGUQVUjytro0xpb26bs', 'id': '0vRvGUQVUjytro0xpb26bs', 'name': 'Arizona Zervas', 'type': 'artist', 'uri': 'spotify:artist:0vRvGUQVUjytro0xpb26bs'}]",2022-09-27T20:48:22Z,0.771,0.741,4,-5.59,0.0527,0.0554,0.0,0.31,0.712,162.037
21,sunrise,3lTH6qyJ1FEoO6Wkm9vl0I,161982,https://open.spotify.com/track/3lTH6qyJ1FEoO6Wkm9vl0I,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0yXuo2N8r6dzzGgnLNLGZm'}, 'href': 'https://api.spotify.com/v1/artists/0yXuo2N8r6dzzGgnLNLGZm', 'id': '0yXuo2N8r6dzzGgnLNLGZm', 'name': 'sammy rash', 'type': 'artist', 'uri': 'spotify:artist:0yXuo2N8r6dzzGgnLNLGZm'}]",2022-09-27T20:44:59Z,0.811,0.447,9,-9.135,0.0837,0.336,0.0,0.176,0.965,78.976
22,Outta Your League,0AlQL0hBWA1yTodHv30eYn,165762,https://open.spotify.com/track/0AlQL0hBWA1yTodHv30eYn,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5KKvcbrAgisuY3xDtioMbu'}, 'href': 'https://api.spotify.com/v1/artists/5KKvcbrAgisuY3xDtioMbu', 'id': '5KKvcbrAgisuY3xDtioMbu', 'name': 'MoonLander', 'type': 'artist', 'uri': 'spotify:artist:5KKvcbrAgisuY3xDtioMbu'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1XlLhtgJjC4ROQZilBZAvw'}, 'href': 'https://api.spotify.com/v1/artists/1XlLhtgJjC4ROQZilBZAvw', 'id': '1XlLhtgJjC4ROQZilBZAvw', 'name': 'Nic D', 'type': 'artist', 'uri': 'spotify:artist:1XlLhtgJjC4ROQZilBZAvw'}]",2022-09-27T20:42:55Z,0.87,0.345,0,-9.425,0.0566,0.56,5.92e-05,0.1,0.795,118.029
23,Pretty Faces,426AYnTtUOmX7Km14Ghvsd,117080,https://open.spotify.com/track/426AYnTtUOmX7Km14Ghvsd,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1XlLhtgJjC4ROQZilBZAvw'}, 'href': 'https://api.spotify.com/v1/artists/1XlLhtgJjC4ROQZilBZAvw', 'id': '1XlLhtgJjC4ROQZilBZAvw', 'name': 'Nic D', 'type': 'artist', 'uri': 'spotify:artist:1XlLhtgJjC4ROQZilBZAvw'}]",2022-09-27T20:38:15Z,0.734,0.643,4,-5.766,0.26,0.0605,0.0,0.424,0.92,80.969
24,ATTENTION,7l8MgcIPx3tDfNpyKzr9ey,170918,https://open.spotify.com/track/7l8MgcIPx3tDfNpyKzr9ey,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3koEtGT6SxcjRgwh6YwDx5'}, 'href': 'https://api.spotify.com/v1/artists/3koEtGT6SxcjRgwh6YwDx5', 'id': '3koEtGT6SxcjRgwh6YwDx5', 'name': 'Young Saab', 'type': 'artist', 'uri': 'spotify:artist:3koEtGT6SxcjRgwh6YwDx5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3jeXY6LJU0ZiKhXoXa9rRw'}, 'href': 'https://api.spotify.com/v1/artists/3jeXY6LJU0ZiKhXoXa9rRw', 'id': '3jeXY6LJU0ZiKhXoXa9rRw', 'name': 'PmBata', 'type': 'artist', 'uri': 'spotify:artist:3jeXY6LJU0ZiKhXoXa9rRw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/00Z3UDoAQwzvGu13HoAM7J'}, 'href': 'https://api.spotify.com/v1/artists/00Z3UDoAQwzvGu13HoAM7J', 'id': '00Z3UDoAQwzvGu13HoAM7J', 'name': 'Skizzy Mars', 'type': 'artist', 'uri': 'spotify:artist:00Z3UDoAQwzvGu13HoAM7J'}]",2022-09-26T23:20:45Z,0.617,0.864,9,-4.459,0.35,0.21,0.0,0.371,0.595,150.019
25,love sux,0o8iO4tGwKdxRePgMo9Qrw,144881,https://open.spotify.com/track/0o8iO4tGwKdxRePgMo9Qrw,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/571VxoWCBMPacek7MmocqU'}, 'href': 'https://api.spotify.com/v1/artists/571VxoWCBMPacek7MmocqU', 'id': '571VxoWCBMPacek7MmocqU', 'name': 'JXN', 'type': 'artist', 'uri': 'spotify:artist:571VxoWCBMPacek7MmocqU'}]",2022-09-26T20:35:31Z,0.781,0.532,8,-5.341,0.0374,0.351,0.0,0.0629,0.332,95.072
26,Down & Out,7wIcRhedBpZGpLf9PGKUEh,173250,https://open.spotify.com/track/7wIcRhedBpZGpLf9PGKUEh,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1trffosn0Alk3IlloOD5O8'}, 'href': 'https://api.spotify.com/v1/artists/1trffosn0Alk3IlloOD5O8', 'id': '1trffosn0Alk3IlloOD5O8', 'name': 'raspy', 'type': 'artist', 'uri': 'spotify:artist:1trffosn0Alk3IlloOD5O8'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3XOHHfvBYKCMo1h0DFY27z'}, 'href': 'https://api.spotify.com/v1/artists/3XOHHfvBYKCMo1h0DFY27z', 'id': '3XOHHfvBYKCMo1h0DFY27z', 'name': 'SypSki', 'type': 'artist', 'uri': 'spotify:artist:3XOHHfvBYKCMo1h0DFY27z'}]",2022-09-26T20:28:02Z,0.629,0.649,11,-7.469,0.0314,0.0601,0.0,0.128,0.443,150.044
27,I Remember,6ddxSkfDxR8krMcheEmuzL,221889,https://open.spotify.com/track/6ddxSkfDxR8krMcheEmuzL,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2P6teom3YQ7h8DFxR1JlQB'}, 'href': 'https://api.spotify.com/v1/artists/2P6teom3YQ7h8DFxR1JlQB', 'id': '2P6teom3YQ7h8DFxR1JlQB', 'name': 'Kato On The Track', 'type': 'artist', 'uri': 'spotify:artist:2P6teom3YQ7h8DFxR1JlQB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3F0k8llOe3j1qhSEA6yeoe'}, 'href': 'https://api.spotify.com/v1/artists/3F0k8llOe3j1qhSEA6yeoe', 'id': '3F0k8llOe3j1qhSEA6yeoe', 'name': '30', 'type': 'artist', 'uri': 'spotify:artist:3F0k8llOe3j1qhSEA6yeoe'}]",2022-09-26T19:04:18Z,0.762,0.793,0,-5.495,0.225,0.308,0.0,0.315,0.511,84.079
28,Bad Type,0w57Y6usGOz6jz99s6eXkO,190524,https://open.spotify.com/track/0w57Y6usGOz6jz99s6eXkO,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jx7HGyoa2APekVbiXZvFh'}, 'href': 'https://api.spotify.com/v1/artists/3jx7HGyoa2APekVbiXZvFh', 'id': '3jx7HGyoa2APekVbiXZvFh', 'name': 'The Astronomers', 'type': 'artist', 'uri': 'spotify:artist:3jx7HGyoa2APekVbiXZvFh'}]",2022-09-26T00:26:55Z,0.746,0.422,8,-8.698,0.0556,0.136,0.0,0.166,0.765,144.053
29,new year,0uqc00wyYU4ikXuVFDaqux,135233,https://open.spotify.com/track/0uqc00wyYU4ikXuVFDaqux,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0yXuo2N8r6dzzGgnLNLGZm'}, 'href': 'https://api.spotify.com/v1/artists/0yXuo2N8r6dzzGgnLNLGZm', 'id': '0yXuo2N8r6dzzGgnLNLGZm', 'name': 'sammy rash', 'type': 'artist', 'uri': 'spotify:artist:0yXuo2N8r6dzzGgnLNLGZm'}]",2022-09-26T00:19:34Z,0.836,0.387,6,-8.746,0.15,0.389,0.0,0.234,0.629,86.013
