,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
129,129,Mindless,1tOpbxJMz9fAHd3Gt8nb7z,109811,https://open.spotify.com/track/1tOpbxJMz9fAHd3Gt8nb7z,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-07-24T16:44:19Z,0.702,0.849,1,-4.708,0.14,0.00458,0.0,0.224,0.519,140.039
130,130,Wake Up,2CXF3c5KrBsXZygtyQJtq9,158316,https://open.spotify.com/track/2CXF3c5KrBsXZygtyQJtq9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-07-24T16:39:57Z,0.775,0.658,2,-5.119,0.175,0.0988,0.0,0.111,0.325,139.978
132,132,I Chose Violence,7l5GAw0cglUUnN7bKAz5ab,139870,https://open.spotify.com/track/7l5GAw0cglUUnN7bKAz5ab,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-07-23T14:51:01Z,0.676,0.717,7,-8.641,0.323,0.323,0.0,0.118,0.451,162.016
133,133,Die a King,1s70cjkrdj9lpEeQQlmS9l,169061,https://open.spotify.com/track/1s70cjkrdj9lpEeQQlmS9l,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-07-23T14:48:46Z,0.632,0.946,0,-2.784,0.277,0.192,0.0,0.495,0.324,125.061
134,134,By the Sword,3HsFSrIsbO54TFDfG66pZm,125812,https://open.spotify.com/track/3HsFSrIsbO54TFDfG66pZm,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-07-23T14:47:12Z,0.685,0.76,2,-7.813,0.0512,0.0199,0.151,0.0866,0.781,160.035
135,135,Satin Black,1vb2AwKBvNylZcKVSyAidh,137740,https://open.spotify.com/track/1vb2AwKBvNylZcKVSyAidh,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-07-23T14:43:56Z,0.773,0.682,1,-6.329,0.054,0.047,0.00317,0.11,0.81,150.974
172,172,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,175954,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax'}, 'href': 'https://api.spotify.com/v1/artists/6Xgp2XMz1fhVYe7i6yNAax', 'id': '6Xgp2XMz1fhVYe7i6yNAax', 'name': 'Trippie Redd', 'type': 'artist', 'uri': 'spotify:artist:6Xgp2XMz1fhVYe7i6yNAax'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'}, 'href': 'https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz', 'id': '4MCBfE4596Uoi2O4DtmEMz', 'name': 'Juice WRLD', 'type': 'artist', 'uri': 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz'}]",2022-07-17T01:22:33Z,0.825,0.572,6,-6.067,0.0864,0.0079,0.0,0.113,0.568,141.991
277,277,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,218364,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'}, 'href': 'https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft', 'id': '1URnnhqYAYcrqrcwql10ft', 'name': '21 Savage', 'type': 'artist', 'uri': 'spotify:artist:1URnnhqYAYcrqrcwql10ft'}]",2022-06-22T16:55:59Z,0.529,0.673,0,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921
320,320,Undefeated,0A8XIdWLzCrig73zlqSvfD,148346,https://open.spotify.com/track/0A8XIdWLzCrig73zlqSvfD,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-06-18T16:28:42Z,0.668,0.739,6,-6.621,0.245,0.0889,0.0,0.138,0.348,154.941
326,326,Bipolar,6CNhRZb2Q76Idk24Qhgew2,134069,https://open.spotify.com/track/6CNhRZb2Q76Idk24Qhgew2,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-06-18T15:56:11Z,0.736,0.776,2,-7.486,0.264,0.262,0.0,0.19,0.399,142.868
327,327,Warfare,6TTBv0IDfO3pTNMM0O71xL,229990,https://open.spotify.com/track/6TTBv0IDfO3pTNMM0O71xL,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-06-18T15:52:19Z,0.627,0.732,7,-6.541,0.272,0.231,0.0,0.171,0.433,119.982
328,328,Ghost,2FApPxw7vTak4beWsbK9jR,200346,https://open.spotify.com/track/2FApPxw7vTak4beWsbK9jR,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-06-18T15:48:51Z,0.768,0.757,7,-7.122,0.497,0.188,0.0,0.238,0.478,160.106
